Date,Open,High,Low,Close,Adj Close,Volume
28-Apr-16,208.46,209.76,206.96,207.45,177.74,"97,216,200"
27-Apr-16,208.47,209.81,208.05,209.35,179.37,"77,329,400"
26-Apr-16,209.04,209.52,208.36,208.92,179,"75,864,200"
25-Apr-16,208.26,208.66,207.54,208.61,178.74,"66,166,500"
22-Apr-16,208.55,209.29,207.91,208.97,179.04,"99,251,700"
21-Apr-16,210.12,210.25,208.65,208.97,179.04,"85,695,000"
20-Apr-16,209.95,210.92,209.39,210.1,180.01,"81,100,300"
19-Apr-16,209.74,210.2,208.94,209.9,179.84,"88,316,100"
18-Apr-16,207.78,209.28,207,209.24,179.28,"82,531,000"
15-Apr-16,208.01,208.17,207.4,207.78,178.03,"75,761,600"
14-Apr-16,208.07,208.6,207.6,208.01,178.22,"65,212,900"
13-Apr-16,207,208.1,206.84,208,178.21,"96,336,400"
12-Apr-16,204.22,206.25,203.7,205.92,176.43,"115,350,600"
11-Apr-16,205.25,206.07,203.91,204.02,174.8,"83,757,500"
08-Apr-16,205.34,205.85,203.87,204.5,175.21,"95,040,600"
07-Apr-16,205.14,205.56,203.09,203.95,174.74,"113,859,000"
06-Apr-16,204.19,206.49,203.98,206.42,176.86,"91,839,800"
05-Apr-16,204.67,206.26,203.89,204.19,174.95,"99,662,200"
04-Apr-16,206.83,207.07,205.89,206.25,176.71,"63,497,000"
01-Apr-16,204.35,207.14,203.98,206.92,177.29,"114,423,500"
31-Mar-16,205.91,206.41,205.33,205.52,176.09,"94,584,100"
30-Mar-16,206.3,206.87,205.59,206.02,176.52,"86,365,300"
29-Mar-16,202.76,205.25,202.4,205.12,175.75,"92,922,900"
28-Mar-16,203.61,203.86,202.71,203.24,174.14,"62,408,200"
24-Mar-16,202,203.16,201.74,203.12,174.03,"84,360,900"
23-Mar-16,204.11,204.33,203.01,203.21,174.11,"81,052,500"
22-Mar-16,203.76,205.23,203.57,204.56,175.27,"97,471,900"
21-Mar-16,204.07,204.94,203.8,204.67,175.36,"72,926,700"
18-Mar-16,1.05 Dividend,,,,,
18-Mar-16,204.17,204.78,203.8,204.38,175.11,"138,372,400"
17-Mar-16,203.24,205.23,202.77,204.63,174.43,"134,278,500"
16-Mar-16,201.6,203.82,201.55,203.34,173.33,"129,303,200"
15-Mar-16,201.36,202.53,201.05,202.17,172.33,"93,169,100"
14-Mar-16,202.16,203.04,201.77,202.5,172.61,"73,612,000"
11-Mar-16,201.26,202.81,199.52,202.76,172.83,"137,964,500"
10-Mar-16,199.96,201.07,197.38,199.54,170.09,"156,838,700"
09-Mar-16,199.36,199.79,198.43,199.38,169.95,"94,801,200"
08-Mar-16,199.32,199.92,198.21,198.4,169.12,"123,974,900"
07-Mar-16,199.34,201.07,199.25,200.59,170.98,"100,219,000"
04-Mar-16,200.01,201.35,199.03,200.43,170.85,"129,293,600"
03-Mar-16,198.79,199.8,198.11,199.78,170.29,"95,172,200"
02-Mar-16,197.74,199.06,197.25,199,169.63,"102,415,000"
01-Mar-16,195.01,198.21,194.45,198.11,168.87,"141,799,700"
29-Feb-16,195.11,196.23,193.33,193.56,164.99,"125,918,100"
26-Feb-16,196.57,196.68,194.9,195.09,166.29,"129,833,700"
25-Feb-16,193.73,195.55,192.83,195.54,166.68,"110,728,300"
24-Feb-16,190.63,193.53,189.32,193.2,164.68,"150,812,200"
23-Feb-16,194,194.32,192.18,192.32,163.93,"111,455,300"
22-Feb-16,193.87,194.95,193.79,194.78,166.03,"103,640,300"
19-Feb-16,191.17,192.18,190.45,192,163.66,"114,793,000"
18-Feb-16,193.2,193.27,191.72,192.09,163.74,"102,343,000"
17-Feb-16,191.16,193.32,191.01,192.88,164.41,"136,009,500"
16-Feb-16,188.77,189.81,187.63,189.78,161.77,"120,250,700"
12-Feb-16,184.96,186.65,183.96,186.63,159.08,"127,632,400"
11-Feb-16,182.34,184.1,181.09,182.86,155.87,"219,058,900"
10-Feb-16,186.41,188.34,185.12,185.27,157.92,"148,214,100"
09-Feb-16,183.36,186.94,183.2,185.43,158.06,"184,513,100"
08-Feb-16,185.77,186.12,182.8,185.42,158.05,"191,526,700"
05-Feb-16,190.99,191.67,187.2,187.95,160.21,"180,788,300"
04-Feb-16,190.71,192.75,189.96,191.6,163.32,"139,531,800"
03-Feb-16,191.41,191.78,187.1,191.3,163.06,"205,054,900"
02-Feb-16,191.96,191.97,189.54,190.16,162.09,"182,564,900"
01-Feb-16,192.53,194.58,191.84,193.65,165.07,"136,061,600"
29-Jan-16,190.02,193.88,189.88,193.72,165.13,"210,529,300"
28-Jan-16,189.96,190.2,187.16,189.11,161.2,"143,798,800"
27-Jan-16,189.58,191.56,187.06,188.13,160.36,"185,681,700"
26-Jan-16,188.42,190.53,188.02,190.2,162.13,"141,036,800"
25-Jan-16,189.92,190.15,187.41,187.64,159.94,"130,371,700"
22-Jan-16,189.78,190.76,188.88,190.52,162.4,"168,319,600"
21-Jan-16,186.21,188.87,184.64,186.69,159.13,"195,772,900"
20-Jan-16,185.03,187.5,181.02,185.65,158.25,"286,547,800"
19-Jan-16,189.96,190.11,186.2,188.06,160.3,"195,244,400"
15-Jan-16,186.77,188.76,185.52,187.81,160.09,"324,846,400"
14-Jan-16,189.55,193.26,187.66,191.93,163.6,"240,795,600"
13-Jan-16,194.45,194.86,188.38,188.83,160.96,"221,168,900"
12-Jan-16,193.82,194.55,191.14,193.66,165.08,"172,330,500"
11-Jan-16,193.01,193.41,189.82,192.11,163.75,"187,941,300"
08-Jan-16,195.19,195.85,191.58,191.92,163.59,"209,817,200"
07-Jan-16,195.33,197.44,193.59,194.05,165.41,"213,436,100"
06-Jan-16,198.34,200.06,197.6,198.82,169.47,"152,112,600"
05-Jan-16,201.4,201.9,200.05,201.36,171.64,"110,845,800"
04-Jan-16,200.49,201.03,198.59,201.02,171.35,"222,353,500"
31-Dec-15,205.13,205.89,203.87,203.87,173.78,"114,877,900"
30-Dec-15,207.11,207.21,205.76,205.93,175.53,"63,317,700"
29-Dec-15,206.51,207.79,206.47,207.4,176.79,"92,640,700"
28-Dec-15,204.86,205.26,203.94,205.21,174.92,"65,899,900"
24-Dec-15,205.72,206.33,205.42,205.68,175.32,"48,539,600"
23-Dec-15,204.69,206.07,204.58,206.02,175.61,"110,987,200"
22-Dec-15,202.72,203.85,201.55,203.5,173.46,"111,026,200"
21-Dec-15,201.41,201.88,200.09,201.67,171.9,"99,094,300"
18-Dec-15,1.212 Dividend,,,,,
18-Dec-15,202.77,202.93,199.83,200.02,170.5,"251,393,500"
17-Dec-15,208.4,208.48,204.84,204.86,173.59,"173,092,500"
16-Dec-15,206.37,208.39,204.8,208.03,176.28,"197,017,000"
15-Dec-15,204.7,206.11,202.87,205.03,173.73,"154,069,600"
14-Dec-15,202.07,203.05,199.95,202.9,171.93,"182,385,200"
11-Dec-15,203.35,204.14,201.51,201.88,171.06,"211,173,300"
10-Dec-15,205.42,207.43,205.14,205.87,174.45,"116,128,900"
09-Dec-15,206.19,208.68,204.18,205.34,174,"162,401,500"
08-Dec-15,206.49,208.29,205.78,206.95,175.36,"103,372,400"
07-Dec-15,209.23,209.73,207.2,208.35,176.55,"102,027,100"
04-Dec-15,205.61,209.97,205.61,209.62,177.62,"192,913,900"
03-Dec-15,208.83,209.15,204.75,205.61,174.22,"166,224,200"
02-Dec-15,210.62,211,208.23,208.53,176.7,"108,441,300"
01-Dec-15,209.44,210.82,209.11,210.68,178.52,"97,858,400"
30-Nov-15,209.75,209.89,208.56,208.69,176.83,"112,822,700"
27-Nov-15,209.43,209.8,208.86,209.56,177.57,"37,317,800"
25-Nov-15,209.5,209.74,209.01,209.32,177.37,"51,980,100"
24-Nov-15,207.87,209.83,207.41,209.35,177.39,"98,874,400"
23-Nov-15,209.38,209.98,208.52,209.07,177.16,"64,931,200"
20-Nov-15,209.45,210.12,208.86,209.31,177.36,"94,011,500"
19-Nov-15,208.59,209.05,208.2,208.55,176.72,"88,220,500"
18-Nov-15,206.04,208.9,205.99,208.73,176.87,"121,342,500"
17-Nov-15,205.99,207.04,204.88,205.47,174.11,"121,123,700"
